verein,marktwert,date
SpVgg Greuther Fürth,20.48,2021-03-15
FC Bayern München,829.00,2021-03-01
Borussia Dortmund,592.95,2021-03-01
RasenBallsport Leipzig,558.78,2021-03-01
Bayer 04 Leverkusen,396.30,2021-03-01
Eintracht Frankfurt,204.90,2021-03-01
VfL Wolfsburg,221.05,2021-03-01
Borussia Mönchengladbach,346.45,2021-03-01
TSG 1899 Hoffenheim,228.30,2021-03-01
VfB Stuttgart,151.00,2021-03-01
SC Freiburg,127.58,2021-03-01
1.FSV Mainz 05,87.95,2021-03-01
1.FC Köln,106.50,2021-03-01
FC Augsburg,101.10,2021-03-01
Hertha BSC,224.70,2021-03-01
1.FC Union Berlin,76.20,2021-03-01
Arminia Bielefeld,50.75,2021-03-01
VfL Bochum,20.85,2021-03-01
SpVgg Greuther Fürth,20.48,2021-03-01
FC Bayern München,829.00,2021-02-15
Borussia Dortmund,592.95,2021-02-15
RasenBallsport Leipzig,558.78,2021-02-15
Bayer 04 Leverkusen,396.30,2021-02-15
Eintracht Frankfurt,204.90,2021-02-15
VfL Wolfsburg,221.05,2021-02-15
Borussia Mönchengladbach,346.45,2021-02-15
TSG 1899 Hoffenheim,228.30,2021-02-15
VfB Stuttgart,151.00,2021-02-15
SC Freiburg,127.58,2021-02-15
1.FSV Mainz 05,87.95,2021-02-15
1.FC Köln,106.50,2021-02-15
FC Augsburg,101.10,2021-02-15
Hertha BSC,224.70,2021-02-15
1.FC Union Berlin,76.20,2021-02-15
Arminia Bielefeld,50.75,2021-02-15
VfL Bochum,20.85,2021-02-15
SpVgg Greuther Fürth,20.48,2021-02-15
FC Bayern München,893.50,2021-02-01
Borussia Dortmund,615.20,2021-02-01
RasenBallsport Leipzig,552.18,2021-02-01
Bayer 04 Leverkusen,363.45,2021-02-01
Eintracht Frankfurt,191.05,2021-02-01
VfL Wolfsburg,203.75,2021-02-01
Borussia Mönchengladbach,343.13,2021-02-01
TSG 1899 Hoffenheim,228.33,2021-02-01
VfB Stuttgart,102.95,2021-02-01
SC Freiburg,108.50,2021-02-01
1.FSV Mainz 05,86.55,2021-02-01
1.FC Köln,113.60,2021-02-01
FC Augsburg,104.63,2021-02-01
Hertha BSC,252.18,2021-02-01
1.FC Union Berlin,62.90,2021-02-01
Arminia Bielefeld,48.35,2021-02-01
VfL Bochum,17.18,2021-02-01
SpVgg Greuther Fürth,14.85,2021-02-01
FC Bayern München,891.40,2021-01-15
Borussia Dortmund,615.20,2021-01-15
RasenBallsport Leipzig,552.48,2021-01-15
Bayer 04 Leverkusen,347.45,2021-01-15
Eintracht Frankfurt,205.85,2021-01-15
VfL Wolfsburg,216.55,2021-01-15
Borussia Mönchengladbach,343.13,2021-01-15
TSG 1899 Hoffenheim,236.33,2021-01-15
VfB Stuttgart,103.45,2021-01-15
SC Freiburg,109.90,2021-01-15
