verein,marktwert,date
VfL Bochum,17.15,2018-01-15
SpVgg Greuther Fürth,15.48,2018-01-15
FC Bayern München,634.25,2018-01-01
Borussia Dortmund,418.95,2018-01-01
RasenBallsport Leipzig,299.75,2018-01-01
Bayer 04 Leverkusen,267.90,2018-01-01
Eintracht Frankfurt,90.75,2018-01-01
VfL Wolfsburg,154.18,2018-01-01
Borussia Mönchengladbach,172.45,2018-01-01
TSG 1899 Hoffenheim,153.30,2018-01-01
VfB Stuttgart,79.20,2018-01-01
SC Freiburg,76.60,2018-01-01
1.FSV Mainz 05,76.90,2018-01-01
1.FC Köln,105.80,2018-01-01
FC Augsburg,76.40,2018-01-01
Hertha BSC,102.85,2018-01-01
1.FC Union Berlin,22.00,2018-01-01
Arminia Bielefeld,13.48,2018-01-01
VfL Bochum,16.15,2018-01-01
SpVgg Greuther Fürth,15.48,2018-01-01
FC Bayern München,599.10,2017-12-15
Borussia Dortmund,438.90,2017-12-15
RasenBallsport Leipzig,256.58,2017-12-15
Bayer 04 Leverkusen,219.90,2017-12-15
Eintracht Frankfurt,83.90,2017-12-15
VfL Wolfsburg,149.00,2017-12-15
Borussia Mönchengladbach,158.88,2017-12-15
TSG 1899 Hoffenheim,129.90,2017-12-15
VfB Stuttgart,71.15,2017-12-15
SC Freiburg,77.08,2017-12-15
1.FSV Mainz 05,72.85,2017-12-15
1.FC Köln,110.30,2017-12-15
FC Augsburg,61.38,2017-12-15
Hertha BSC,95.95,2017-12-15
1.FC Union Berlin,22.15,2017-12-15
Arminia Bielefeld,13.48,2017-12-15
VfL Bochum,16.15,2017-12-15
SpVgg Greuther Fürth,15.63,2017-12-15
FC Bayern München,599.10,2017-12-01
Borussia Dortmund,438.90,2017-12-01
RasenBallsport Leipzig,256.58,2017-12-01
Bayer 04 Leverkusen,219.90,2017-12-01
Eintracht Frankfurt,83.90,2017-12-01
VfL Wolfsburg,149.00,2017-12-01
Borussia Mönchengladbach,158.88,2017-12-01
TSG 1899 Hoffenheim,129.90,2017-12-01
VfB Stuttgart,71.15,2017-12-01
SC Freiburg,77.18,2017-12-01
1.FSV Mainz 05,72.85,2017-12-01
1.FC Köln,110.30,2017-12-01
FC Augsburg,61.38,2017-12-01
Hertha BSC,95.95,2017-12-01
1.FC Union Berlin,22.15,2017-12-01
Arminia Bielefeld,13.48,2017-12-01
VfL Bochum,16.15,2017-12-01
SpVgg Greuther Fürth,15.63,2017-12-01
FC Bayern München,599.10,2017-11-15
Borussia Dortmund,438.90,2017-11-15
RasenBallsport Leipzig,256.58,2017-11-15
Bayer 04 Leverkusen,219.90,2017-11-15
Eintracht Frankfurt,83.90,2017-11-15
VfL Wolfsburg,149.00,2017-11-15
Borussia Mönchengladbach,158.88,2017-11-15
TSG 1899 Hoffenheim,129.40,2017-11-15
VfB Stuttgart,71.15,2017-11-15
SC Freiburg,77.18,2017-11-15
1.FSV Mainz 05,72.85,2017-11-15
1.FC Köln,110.15,2017-11-15
FC Augsburg,61.38,2017-11-15
Hertha BSC,95.95,2017-11-15
1.FC Union Berlin,22.15,2017-11-15
Arminia Bielefeld,13.48,2017-11-15
VfL Bochum,16.15,2017-11-15
SpVgg Greuther Fürth,15.63,2017-11-15
FC Bayern München,599.10,2017-11-01
Borussia Dortmund,438.90,2017-11-01
RasenBallsport Leipzig,256.58,2017-11-01
Bayer 04 Leverkusen,219.90,2017-11-01
Eintracht Frankfurt,83.90,2017-11-01
VfL Wolfsburg,149.00,2017-11-01
Borussia Mönchengladbach,158.88,2017-11-01
TSG 1899 Hoffenheim,129.40,2017-11-01
VfB Stuttgart,71.15,2017-11-01
SC Freiburg,77.18,2017-11-01
1.FSV Mainz 05,72.85,2017-11-01
1.FC Köln,110.15,2017-11-01
FC Augsburg,61.38,2017-11-01
Hertha BSC,95.95,2017-11-01
1.FC Union Berlin,22.15,2017-11-01
Arminia Bielefeld,13.48,2017-11-01
VfL Bochum,16.15,2017-11-01
SpVgg Greuther Fürth,15.63,2017-11-01
FC Bayern München,581.50,2017-10-15
Borussia Dortmund,392.03,2017-10-15
RasenBallsport Leipzig,189.08,2017-10-15
Bayer 04 Leverkusen,200.90,2017-10-15
Eintracht Frankfurt,83.80,2017-10-15
VfL Wolfsburg,143.05,2017-10-15
Borussia Mönchengladbach,150.58,2017-10-15
TSG 1899 Hoffenheim,119.63,2017-10-15
VfB Stuttgart,64.35,2017-10-15
SC Freiburg,70.38,2017-10-15
1.FSV Mainz 05,71.35,2017-10-15
1.FC Köln,105.95,2017-10-15
FC Augsburg,57.13,2017-10-15
Hertha BSC,90.45,2017-10-15
1.FC Union Berlin,21.85,2017-10-15
Arminia Bielefeld,13.33,2017-10-15
VfL Bochum,15.80,2017-10-15
SpVgg Greuther Fürth,15.98,2017-10-15
FC Bayern München,581.50,2017-10-01
Borussia Dortmund,392.03,2017-10-01
RasenBallsport Leipzig,189.08,2017-10-01
Bayer 04 Leverkusen,200.90,2017-10-01
Eintracht Frankfurt,84.00,2017-10-01
VfL Wolfsburg,143.10,2017-10-01
Borussia Mönchengladbach,150.58,2017-10-01
TSG 1899 Hoffenheim,119.63,2017-10-01
VfB Stuttgart,64.35,2017-10-01
SC Freiburg,70.38,2017-10-01
1.FSV Mainz 05,71.45,2017-10-01
1.FC Köln,105.95,2017-10-01
FC Augsburg,57.13,2017-10-01
Hertha BSC,90.45,2017-10-01
1.FC Union Berlin,21.85,2017-10-01
Arminia Bielefeld,13.33,2017-10-01
VfL Bochum,15.80,2017-10-01
SpVgg Greuther Fürth,15.23,2017-10-01
FC Bayern München,581.40,2017-09-15
Borussia Dortmund,392.03,2017-09-15
RasenBallsport Leipzig,189.08,2017-09-15
Bayer 04 Leverkusen,200.90,2017-09-15
Eintracht Frankfurt,84.00,2017-09-15
VfL Wolfsburg,143.10,2017-09-15
Borussia Mönchengladbach,150.58,2017-09-15
TSG 1899 Hoffenheim,119.63,2017-09-15
VfB Stuttgart,64.35,2017-09-15
SC Freiburg,70.38,2017-09-15
1.FSV Mainz 05,71.45,2017-09-15
1.FC Köln,106.45,2017-09-15
FC Augsburg,57.13,2017-09-15
Hertha BSC,90.45,2017-09-15
1.FC Union Berlin,21.85,2017-09-15
Arminia Bielefeld,13.33,2017-09-15
VfL Bochum,15.80,2017-09-15
SpVgg Greuther Fürth,15.23,2017-09-15
FC Bayern München,581.40,2017-09-01
Borussia Dortmund,387.03,2017-09-01
RasenBallsport Leipzig,189.08,2017-09-01
Bayer 04 Leverkusen,189.20,2017-09-01
Eintracht Frankfurt,84.00,2017-09-01
VfL Wolfsburg,143.10,2017-09-01
Borussia Mönchengladbach,156.58,2017-09-01
TSG 1899 Hoffenheim,119.63,2017-09-01
VfB Stuttgart,64.45,2017-09-01
SC Freiburg,70.43,2017-09-01
1.FSV Mainz 05,72.45,2017-09-01
1.FC Köln,106.45,2017-09-01
FC Augsburg,57.13,2017-09-01
Hertha BSC,90.45,2017-09-01
1.FC Union Berlin,21.85,2017-09-01
Arminia Bielefeld,13.33,2017-09-01
VfL Bochum,15.80,2017-09-01
SpVgg Greuther Fürth,15.23,2017-09-01
FC Bayern München,603.40,2017-08-15
Borussia Dortmund,406.48,2017-08-15
RasenBallsport Leipzig,181.08,2017-08-15
Bayer 04 Leverkusen,211.30,2017-08-15
Eintracht Frankfurt,73.60,2017-08-15
VfL Wolfsburg,134.85,2017-08-15
Borussia Mönchengladbach,152.45,2017-08-15
TSG 1899 Hoffenheim,120.13,2017-08-15
VfB Stuttgart,58.65,2017-08-15
SC Freiburg,65.23,2017-08-15
1.FSV Mainz 05,72.65,2017-08-15
1.FC Köln,106.15,2017-08-15
FC Augsburg,62.13,2017-08-15
Hertha BSC,90.45,2017-08-15
1.FC Union Berlin,20.65,2017-08-15
Arminia Bielefeld,14.08,2017-08-15
VfL Bochum,14.85,2017-08-15
SpVgg Greuther Fürth,14.38,2017-08-15
FC Bayern München,603.40,2017-08-01
Borussia Dortmund,406.48,2017-08-01
RasenBallsport Leipzig,181.15,2017-08-01
Bayer 04 Leverkusen,211.30,2017-08-01
Eintracht Frankfurt,73.60,2017-08-01
VfL Wolfsburg,134.00,2017-08-01
Borussia Mönchengladbach,152.45,2017-08-01
TSG 1899 Hoffenheim,121.63,2017-08-01
VfB Stuttgart,55.90,2017-08-01
SC Freiburg,63.73,2017-08-01
1.FSV Mainz 05,72.65,2017-08-01
1.FC Köln,106.15,2017-08-01
FC Augsburg,63.13,2017-08-01
Hertha BSC,87.45,2017-08-01
1.FC Union Berlin,20.65,2017-08-01
Arminia Bielefeld,14.08,2017-08-01
VfL Bochum,16.70,2017-08-01
SpVgg Greuther Fürth,14.38,2017-08-01
FC Bayern München,603.40,2017-07-15
Borussia Dortmund,408.98,2017-07-15
RasenBallsport Leipzig,182.03,2017-07-15
Bayer 04 Leverkusen,229.30,2017-07-15
Eintracht Frankfurt,69.40,2017-07-15
VfL Wolfsburg,134.50,2017-07-15
Borussia Mönchengladbach,152.55,2017-07-15
TSG 1899 Hoffenheim,124.13,2017-07-15
VfB Stuttgart,55.10,2017-07-15
SC Freiburg,64.53,2017-07-15
1.FSV Mainz 05,72.65,2017-07-15
1.FC Köln,98.55,2017-07-15
FC Augsburg,63.13,2017-07-15
Hertha BSC,87.45,2017-07-15
1.FC Union Berlin,20.05,2017-07-15
Arminia Bielefeld,14.08,2017-07-15
VfL Bochum,16.20,2017-07-15
SpVgg Greuther Fürth,13.93,2017-07-15
FC Bayern München,541.40,2017-07-01
Borussia Dortmund,393.65,2017-07-01
RasenBallsport Leipzig,168.18,2017-07-01
Bayer 04 Leverkusen,264.53,2017-07-01
Eintracht Frankfurt,53.20,2017-07-01
VfL Wolfsburg,136.08,2017-07-01
Borussia Mönchengladbach,143.90,2017-07-01
TSG 1899 Hoffenheim,132.53,2017-07-01
VfB Stuttgart,48.10,2017-07-01
SC Freiburg,76.98,2017-07-01
1.FSV Mainz 05,77.05,2017-07-01
1.FC Köln,107.85,2017-07-01
FC Augsburg,63.33,2017-07-01
Hertha BSC,90.88,2017-07-01
1.FC Union Berlin,19.70,2017-07-01
Arminia Bielefeld,12.43,2017-07-01
VfL Bochum,14.30,2017-07-01
SpVgg Greuther Fürth,15.33,2017-07-01
FC Bayern München,542.65,2017-06-19
Borussia Dortmund,380.65,2017-06-19
RasenBallsport Leipzig,163.38,2017-06-19
Bayer 04 Leverkusen,253.90,2017-06-19
Eintracht Frankfurt,69.45,2017-06-19
VfL Wolfsburg,139.20,2017-06-19
Borussia Mönchengladbach,161.90,2017-06-19
TSG 1899 Hoffenheim,128.88,2017-06-19
VfB Stuttgart,41.90,2017-06-19
SC Freiburg,81.85,2017-06-19
1.FSV Mainz 05,74.00,2017-06-19
1.FC Köln,112.85,2017-06-19
FC Augsburg,58.73,2017-06-19
Hertha BSC,92.38,2017-06-19
1.FC Union Berlin,19.30,2017-06-19
Arminia Bielefeld,13.55,2017-06-19
VfL Bochum,15.95,2017-06-19
SpVgg Greuther Fürth,14.73,2017-06-19
FC Bayern München,566.15,2017-06-15
Borussia Dortmund,376.35,2017-06-15
RasenBallsport Leipzig,123.93,2017-06-15
Bayer 04 Leverkusen,273.95,2017-06-15
Eintracht Frankfurt,68.55,2017-06-15
VfL Wolfsburg,154.00,2017-06-15
Borussia Mönchengladbach,163.55,2017-06-15
TSG 1899 Hoffenheim,101.63,2017-06-15
VfB Stuttgart,41.90,2017-06-15
SC Freiburg,58.68,2017-06-15
1.FSV Mainz 05,79.68,2017-06-15
1.FC Köln,99.30,2017-06-15
FC Augsburg,62.73,2017-06-15
Hertha BSC,86.30,2017-06-15
1.FC Union Berlin,19.30,2017-06-15
Arminia Bielefeld,13.55,2017-06-15
VfL Bochum,15.95,2017-06-15
SpVgg Greuther Fürth,14.73,2017-06-15
FC Bayern München,566.15,2017-06-01
Borussia Dortmund,376.35,2017-06-01
RasenBallsport Leipzig,123.93,2017-06-01
Bayer 04 Leverkusen,273.95,2017-06-01
Eintracht Frankfurt,68.55,2017-06-01
VfL Wolfsburg,154.00,2017-06-01
Borussia Mönchengladbach,163.55,2017-06-01
TSG 1899 Hoffenheim,101.63,2017-06-01
VfB Stuttgart,41.90,2017-06-01
SC Freiburg,58.68,2017-06-01
1.FSV Mainz 05,79.73,2017-06-01
1.FC Köln,99.30,2017-06-01
FC Augsburg,62.73,2017-06-01
Hertha BSC,86.30,2017-06-01
1.FC Union Berlin,19.30,2017-06-01
Arminia Bielefeld,13.55,2017-06-01
VfL Bochum,15.95,2017-06-01
SpVgg Greuther Fürth,14.73,2017-06-01
FC Bayern München,566.15,2017-05-15
Borussia Dortmund,376.35,2017-05-15
RasenBallsport Leipzig,123.93,2017-05-15
Bayer 04 Leverkusen,273.95,2017-05-15
Eintracht Frankfurt,68.55,2017-05-15
VfL Wolfsburg,154.00,2017-05-15
Borussia Mönchengladbach,163.55,2017-05-15
TSG 1899 Hoffenheim,101.63,2017-05-15
VfB Stuttgart,41.90,2017-05-15
SC Freiburg,58.68,2017-05-15
1.FSV Mainz 05,79.73,2017-05-15
1.FC Köln,99.30,2017-05-15
FC Augsburg,62.73,2017-05-15
Hertha BSC,86.30,2017-05-15
1.FC Union Berlin,19.30,2017-05-15
Arminia Bielefeld,13.55,2017-05-15
VfL Bochum,15.95,2017-05-15
SpVgg Greuther Fürth,14.53,2017-05-15
FC Bayern München,566.15,2017-05-01
Borussia Dortmund,376.35,2017-05-01
RasenBallsport Leipzig,123.93,2017-05-01
Bayer 04 Leverkusen,273.95,2017-05-01
Eintracht Frankfurt,68.55,2017-05-01
VfL Wolfsburg,154.00,2017-05-01
Borussia Mönchengladbach,163.55,2017-05-01
TSG 1899 Hoffenheim,101.63,2017-05-01
VfB Stuttgart,41.90,2017-05-01
SC Freiburg,58.68,2017-05-01
1.FSV Mainz 05,79.73,2017-05-01
1.FC Köln,99.30,2017-05-01
FC Augsburg,62.73,2017-05-01
Hertha BSC,86.30,2017-05-01
1.FC Union Berlin,19.30,2017-05-01
Arminia Bielefeld,13.55,2017-05-01
VfL Bochum,15.95,2017-05-01
SpVgg Greuther Fürth,14.53,2017-05-01
FC Bayern München,566.15,2017-04-15
Borussia Dortmund,376.35,2017-04-15
RasenBallsport Leipzig,123.93,2017-04-15
Bayer 04 Leverkusen,273.95,2017-04-15
Eintracht Frankfurt,69.05,2017-04-15
VfL Wolfsburg,154.00,2017-04-15
Borussia Mönchengladbach,163.55,2017-04-15
TSG 1899 Hoffenheim,101.63,2017-04-15
VfB Stuttgart,41.90,2017-04-15
SC Freiburg,58.68,2017-04-15
1.FSV Mainz 05,79.73,2017-04-15
1.FC Köln,99.30,2017-04-15
FC Augsburg,62.73,2017-04-15
Hertha BSC,86.30,2017-04-15
1.FC Union Berlin,19.30,2017-04-15
Arminia Bielefeld,13.55,2017-04-15
VfL Bochum,15.95,2017-04-15
SpVgg Greuther Fürth,14.53,2017-04-15
FC Bayern München,566.15,2017-04-01
Borussia Dortmund,376.35,2017-04-01
RasenBallsport Leipzig,123.93,2017-04-01
Bayer 04 Leverkusen,273.95,2017-04-01
Eintracht Frankfurt,69.05,2017-04-01
VfL Wolfsburg,154.00,2017-04-01
Borussia Mönchengladbach,163.55,2017-04-01
TSG 1899 Hoffenheim,101.63,2017-04-01
VfB Stuttgart,41.90,2017-04-01
SC Freiburg,58.68,2017-04-01
1.FSV Mainz 05,79.73,2017-04-01
1.FC Köln,99.30,2017-04-01
FC Augsburg,62.73,2017-04-01
Hertha BSC,86.30,2017-04-01
1.FC Union Berlin,19.30,2017-04-01
Arminia Bielefeld,13.55,2017-04-01
VfL Bochum,15.95,2017-04-01
SpVgg Greuther Fürth,14.53,2017-04-01
FC Bayern München,556.15,2017-03-15
Borussia Dortmund,378.35,2017-03-15
RasenBallsport Leipzig,111.03,2017-03-15
Bayer 04 Leverkusen,272.45,2017-03-15
Eintracht Frankfurt,67.75,2017-03-15
VfL Wolfsburg,157.00,2017-03-15
Borussia Mönchengladbach,161.55,2017-03-15
TSG 1899 Hoffenheim,99.88,2017-03-15
VfB Stuttgart,42.75,2017-03-15
SC Freiburg,52.28,2017-03-15
1.FSV Mainz 05,77.23,2017-03-15
1.FC Köln,93.80,2017-03-15
FC Augsburg,62.38,2017-03-15
Hertha BSC,84.55,2017-03-15
1.FC Union Berlin,18.75,2017-03-15
Arminia Bielefeld,13.55,2017-03-15
VfL Bochum,15.65,2017-03-15
SpVgg Greuther Fürth,14.18,2017-03-15
FC Bayern München,556.15,2017-03-01
Borussia Dortmund,378.35,2017-03-01
RasenBallsport Leipzig,111.03,2017-03-01
Bayer 04 Leverkusen,272.45,2017-03-01
Eintracht Frankfurt,67.75,2017-03-01
VfL Wolfsburg,158.00,2017-03-01
Borussia Mönchengladbach,161.55,2017-03-01
TSG 1899 Hoffenheim,99.88,2017-03-01
VfB Stuttgart,44.50,2017-03-01
SC Freiburg,52.28,2017-03-01
1.FSV Mainz 05,77.23,2017-03-01
1.FC Köln,93.80,2017-03-01
FC Augsburg,62.28,2017-03-01
Hertha BSC,84.55,2017-03-01
1.FC Union Berlin,18.75,2017-03-01
Arminia Bielefeld,13.55,2017-03-01
VfL Bochum,15.55,2017-03-01
SpVgg Greuther Fürth,14.18,2017-03-01
FC Bayern München,556.15,2017-02-15
Borussia Dortmund,378.35,2017-02-15
RasenBallsport Leipzig,111.03,2017-02-15
Bayer 04 Leverkusen,272.45,2017-02-15
Eintracht Frankfurt,67.75,2017-02-15
VfL Wolfsburg,158.00,2017-02-15
Borussia Mönchengladbach,161.55,2017-02-15
TSG 1899 Hoffenheim,99.88,2017-02-15
VfB Stuttgart,44.50,2017-02-15
SC Freiburg,52.28,2017-02-15
1.FSV Mainz 05,77.23,2017-02-15
1.FC Köln,93.80,2017-02-15
FC Augsburg,62.28,2017-02-15
Hertha BSC,84.55,2017-02-15
1.FC Union Berlin,18.75,2017-02-15
Arminia Bielefeld,13.55,2017-02-15
VfL Bochum,15.55,2017-02-15
SpVgg Greuther Fürth,14.63,2017-02-15
FC Bayern München,578.65,2017-02-01
Borussia Dortmund,339.25,2017-02-01
RasenBallsport Leipzig,79.05,2017-02-01
Bayer 04 Leverkusen,274.00,2017-02-01
Eintracht Frankfurt,61.50,2017-02-01
VfL Wolfsburg,183.65,2017-02-01
Borussia Mönchengladbach,168.15,2017-02-01
TSG 1899 Hoffenheim,78.80,2017-02-01
VfB Stuttgart,45.00,2017-02-01
SC Freiburg,43.65,2017-02-01
1.FSV Mainz 05,80.08,2017-02-01
1.FC Köln,86.25,2017-02-01
FC Augsburg,62.68,2017-02-01
Hertha BSC,79.20,2017-02-01
1.FC Union Berlin,18.75,2017-02-01
Arminia Bielefeld,13.55,2017-02-01
VfL Bochum,15.70,2017-02-01
SpVgg Greuther Fürth,14.80,2017-02-01
FC Bayern München,578.75,2017-01-15
Borussia Dortmund,351.50,2017-01-15
RasenBallsport Leipzig,86.85,2017-01-15
Bayer 04 Leverkusen,262.45,2017-01-15
Eintracht Frankfurt,61.60,2017-01-15
VfL Wolfsburg,194.00,2017-01-15
Borussia Mönchengladbach,168.10,2017-01-15
TSG 1899 Hoffenheim,84.93,2017-01-15
VfB Stuttgart,43.35,2017-01-15
SC Freiburg,45.40,2017-01-15
1.FSV Mainz 05,71.30,2017-01-15
1.FC Köln,78.15,2017-01-15
FC Augsburg,61.28,2017-01-15
Hertha BSC,79.20,2017-01-15
1.FC Union Berlin,19.45,2017-01-15
Arminia Bielefeld,12.80,2017-01-15
VfL Bochum,15.90,2017-01-15
SpVgg Greuther Fürth,15.45,2017-01-15
FC Bayern München,582.25,2017-01-01
Borussia Dortmund,351.50,2017-01-01
RasenBallsport Leipzig,82.78,2017-01-01
Bayer 04 Leverkusen,262.45,2017-01-01
Eintracht Frankfurt,61.45,2017-01-01
VfL Wolfsburg,187.50,2017-01-01
Borussia Mönchengladbach,161.10,2017-01-01
TSG 1899 Hoffenheim,85.93,2017-01-01
VfB Stuttgart,43.90,2017-01-01
SC Freiburg,45.65,2017-01-01
1.FSV Mainz 05,85.20,2017-01-01
1.FC Köln,78.90,2017-01-01
FC Augsburg,62.78,2017-01-01
Hertha BSC,80.20,2017-01-01
1.FC Union Berlin,18.70,2017-01-01
Arminia Bielefeld,12.80,2017-01-01
VfL Bochum,16.33,2017-01-01
SpVgg Greuther Fürth,15.50,2017-01-01
FC Bayern München,582.25,2016-12-15
Borussia Dortmund,351.50,2016-12-15
RasenBallsport Leipzig,81.78,2016-12-15
Bayer 04 Leverkusen,262.45,2016-12-15
Eintracht Frankfurt,61.45,2016-12-15
VfL Wolfsburg,187.50,2016-12-15
Borussia Mönchengladbach,161.10,2016-12-15
TSG 1899 Hoffenheim,85.93,2016-12-15
VfB Stuttgart,43.90,2016-12-15
SC Freiburg,45.65,2016-12-15
1.FSV Mainz 05,85.20,2016-12-15
1.FC Köln,78.90,2016-12-15
FC Augsburg,62.78,2016-12-15
Hertha BSC,80.08,2016-12-15
1.FC Union Berlin,18.70,2016-12-15
Arminia Bielefeld,12.80,2016-12-15
VfL Bochum,16.33,2016-12-15
SpVgg Greuther Fürth,15.50,2016-12-15
FC Bayern München,582.25,2016-12-01
Borussia Dortmund,351.50,2016-12-01
RasenBallsport Leipzig,81.78,2016-12-01
Bayer 04 Leverkusen,262.45,2016-12-01
Eintracht Frankfurt,61.45,2016-12-01
VfL Wolfsburg,187.40,2016-12-01
Borussia Mönchengladbach,167.10,2016-12-01
TSG 1899 Hoffenheim,85.93,2016-12-01
VfB Stuttgart,43.90,2016-12-01
SC Freiburg,45.65,2016-12-01
1.FSV Mainz 05,85.20,2016-12-01
1.FC Köln,78.90,2016-12-01
FC Augsburg,62.78,2016-12-01
Hertha BSC,80.08,2016-12-01
1.FC Union Berlin,18.70,2016-12-01
Arminia Bielefeld,12.80,2016-12-01
VfL Bochum,16.33,2016-12-01
SpVgg Greuther Fürth,15.50,2016-12-01
FC Bayern München,582.25,2016-11-15
Borussia Dortmund,351.50,2016-11-15
RasenBallsport Leipzig,81.78,2016-11-15
Bayer 04 Leverkusen,262.45,2016-11-15
Eintracht Frankfurt,61.45,2016-11-15
VfL Wolfsburg,187.40,2016-11-15
Borussia Mönchengladbach,167.10,2016-11-15
TSG 1899 Hoffenheim,85.93,2016-11-15
VfB Stuttgart,43.90,2016-11-15
SC Freiburg,45.65,2016-11-15
1.FSV Mainz 05,84.95,2016-11-15
1.FC Köln,78.90,2016-11-15
FC Augsburg,62.78,2016-11-15
Hertha BSC,80.08,2016-11-15
1.FC Union Berlin,18.70,2016-11-15
Arminia Bielefeld,12.80,2016-11-15
VfL Bochum,16.33,2016-11-15
SpVgg Greuther Fürth,15.50,2016-11-15
FC Bayern München,582.25,2016-11-01
Borussia Dortmund,351.50,2016-11-01
RasenBallsport Leipzig,81.78,2016-11-01
Bayer 04 Leverkusen,262.45,2016-11-01
Eintracht Frankfurt,61.35,2016-11-01
VfL Wolfsburg,187.38,2016-11-01
Borussia Mönchengladbach,167.10,2016-11-01
TSG 1899 Hoffenheim,85.93,2016-11-01
VfB Stuttgart,43.90,2016-11-01
SC Freiburg,45.65,2016-11-01
1.FSV Mainz 05,84.95,2016-11-01
1.FC Köln,78.90,2016-11-01
FC Augsburg,62.78,2016-11-01
Hertha BSC,80.08,2016-11-01
1.FC Union Berlin,18.60,2016-11-01
Arminia Bielefeld,12.80,2016-11-01
VfL Bochum,16.33,2016-11-01
SpVgg Greuther Fürth,15.50,2016-11-01
FC Bayern München,582.25,2016-10-15
Borussia Dortmund,351.50,2016-10-15
RasenBallsport Leipzig,81.93,2016-10-15
Bayer 04 Leverkusen,262.35,2016-10-15
Eintracht Frankfurt,61.35,2016-10-15
VfL Wolfsburg,187.30,2016-10-15
Borussia Mönchengladbach,167.10,2016-10-15
TSG 1899 Hoffenheim,85.93,2016-10-15
VfB Stuttgart,44.25,2016-10-15
SC Freiburg,45.65,2016-10-15
1.FSV Mainz 05,84.95,2016-10-15
1.FC Köln,78.90,2016-10-15
FC Augsburg,62.70,2016-10-15
Hertha BSC,80.08,2016-10-15
1.FC Union Berlin,18.60,2016-10-15
Arminia Bielefeld,12.80,2016-10-15
VfL Bochum,16.33,2016-10-15
SpVgg Greuther Fürth,14.30,2016-10-15
FC Bayern München,582.23,2016-10-01
Borussia Dortmund,339.50,2016-10-01
RasenBallsport Leipzig,70.88,2016-10-01
Bayer 04 Leverkusen,253.60,2016-10-01
Eintracht Frankfurt,61.35,2016-10-01
VfL Wolfsburg,189.60,2016-10-01
Borussia Mönchengladbach,165.60,2016-10-01
TSG 1899 Hoffenheim,85.93,2016-10-01
VfB Stuttgart,42.38,2016-10-01
SC Freiburg,43.65,2016-10-01
1.FSV Mainz 05,79.95,2016-10-01
1.FC Köln,73.85,2016-10-01
FC Augsburg,61.20,2016-10-01
Hertha BSC,78.58,2016-10-01
1.FC Union Berlin,18.00,2016-10-01
Arminia Bielefeld,12.80,2016-10-01
VfL Bochum,16.03,2016-10-01
SpVgg Greuther Fürth,13.85,2016-10-01
FC Bayern München,582.23,2016-09-15
Borussia Dortmund,339.50,2016-09-15
RasenBallsport Leipzig,70.88,2016-09-15
Bayer 04 Leverkusen,253.80,2016-09-15
Eintracht Frankfurt,61.35,2016-09-15
VfL Wolfsburg,189.60,2016-09-15
Borussia Mönchengladbach,165.60,2016-09-15
TSG 1899 Hoffenheim,86.23,2016-09-15
VfB Stuttgart,42.38,2016-09-15
SC Freiburg,43.65,2016-09-15
1.FSV Mainz 05,79.95,2016-09-15
1.FC Köln,73.85,2016-09-15
FC Augsburg,61.20,2016-09-15
Hertha BSC,78.58,2016-09-15
1.FC Union Berlin,18.00,2016-09-15
Arminia Bielefeld,12.80,2016-09-15
VfL Bochum,16.03,2016-09-15
SpVgg Greuther Fürth,14.15,2016-09-15
FC Bayern München,582.15,2016-09-01
Borussia Dortmund,339.50,2016-09-01
RasenBallsport Leipzig,66.13,2016-09-01
Bayer 04 Leverkusen,253.90,2016-09-01
Eintracht Frankfurt,61.35,2016-09-01
VfL Wolfsburg,189.60,2016-09-01
Borussia Mönchengladbach,165.60,2016-09-01
TSG 1899 Hoffenheim,86.43,2016-09-01
VfB Stuttgart,42.30,2016-09-01
SC Freiburg,43.65,2016-09-01
1.FSV Mainz 05,79.95,2016-09-01
1.FC Köln,73.85,2016-09-01
FC Augsburg,61.20,2016-09-01
Hertha BSC,78.58,2016-09-01
1.FC Union Berlin,18.00,2016-09-01
Arminia Bielefeld,12.80,2016-09-01
VfL Bochum,16.03,2016-09-01
SpVgg Greuther Fürth,13.85,2016-09-01
FC Bayern München,582.15,2016-08-15
Borussia Dortmund,339.40,2016-08-15
RasenBallsport Leipzig,62.38,2016-08-15
Bayer 04 Leverkusen,250.80,2016-08-15
Eintracht Frankfurt,60.25,2016-08-15
VfL Wolfsburg,180.15,2016-08-15
Borussia Mönchengladbach,165.60,2016-08-15
TSG 1899 Hoffenheim,90.18,2016-08-15
VfB Stuttgart,36.18,2016-08-15
SC Freiburg,44.60,2016-08-15
1.FSV Mainz 05,77.45,2016-08-15
1.FC Köln,73.85,2016-08-15
FC Augsburg,58.50,2016-08-15
Hertha BSC,76.48,2016-08-15
1.FC Union Berlin,17.25,2016-08-15
Arminia Bielefeld,12.90,2016-08-15
VfL Bochum,15.58,2016-08-15
SpVgg Greuther Fürth,13.95,2016-08-15
FC Bayern München,582.15,2016-08-01
Borussia Dortmund,348.25,2016-08-01
RasenBallsport Leipzig,64.68,2016-08-01
Bayer 04 Leverkusen,251.25,2016-08-01
Eintracht Frankfurt,56.25,2016-08-01
VfL Wolfsburg,181.45,2016-08-01
Borussia Mönchengladbach,166.00,2016-08-01
TSG 1899 Hoffenheim,90.08,2016-08-01
VfB Stuttgart,34.60,2016-08-01
SC Freiburg,43.70,2016-08-01
